IDfg,Age,PA1,HR1,R1,AVG1,BB%1,OBP1,SLG1,Pos1,WAR1,BSR1,Def1,PA2,HR2,R2,AVG2,BB%2,OBP2,SLG2,Pos2,WAR2,BSR2,Def2,PA3,HR3,R3,AVG3,BB%3,OBP3,SLG3,Pos3,WAR3,BSR3,Def3,PA4,HR4,R4,AVG4,BB%4,OBP4,SLG4,Pos4,WAR4,BSR4,Def4,PA5,HR5,R5,AVG5,BB%5,OBP5,SLG5,Pos5,WAR5,BSR5,Def5,PA6,HR6,R6,AVG6,BB%6,OBP6,SLG6,Pos6,WAR6,BSR6,Def6,Next_WAR
10,32,664.0,0.006872852233676976,0.12349397590361445,0.285,0.065,0.355,0.357,4.1,2.2,4.0,0.1,702.0,0.013157894736842105,0.15242165242165243,0.293,0.064,0.363,0.388,6.2,4.5,5.7,10.6,517.0,0.00663716814159292,0.11411992263056092,0.252,0.07,0.325,0.325,4.7,1.2,0.3,7.8,637.0,0.0035335689045936395,0.14442700156985872,0.276,0.066,0.339,0.332,6.0,1.9,2.9,9.3,713.0,0.012698412698412698,0.12622720897615708,0.294,0.081,0.363,0.395,6.9,2.5,-1.7,-1.6,552.0,0.004,0.12318840579710146,0.292,0.0559999999999999,0.35,0.344,5.3,1.5,0.4,6.6,2.8
138,31,238.75,0.02608731369830322,0.08524737902841267,0.26475,0.06399999999999997,0.31425,0.40875000000000006,3.925,0.825,0.1,2.175,238.75,0.02608731369830322,0.08524737902841267,0.26475,0.06399999999999997,0.31425,0.40875000000000006,3.925,0.825,0.1,2.175,105.0,0.010416666666666666,0.06666666666666667,0.208,0.076,0.267,0.292,1.3,-0.7,0.4,-2.7,158.0,0.02054794520547945,0.05063291139240506,0.253,0.07,0.306,0.377,2.5,0.4,-0.4,4.5,362.0,0.02702702702702703,0.09944751381215469,0.297,0.0579999999999999,0.343,0.459,5.6,1.7,0.4,3.6,330.0,0.046357615894039736,0.12424242424242424,0.301,0.052,0.341,0.507,6.3,1.9,0.0,3.3,-0.8999999999999999
227,28,450.75,0.04730770749427465,0.12231273366428846,0.25925,0.05225,0.30524999999999997,0.45499999999999996,1.75,1.5,-0.27499999999999997,4.9,450.75,0.04730770749427465,0.12231273366428846,0.25925,0.05225,0.30524999999999997,0.45499999999999996,1.75,1.5,-0.27499999999999997,4.9,209.0,0.06,0.1339712918660287,0.285,0.038,0.311,0.515,0.8,1.2,-0.4,2.0,580.0,0.03544776119402985,0.11724137931034483,0.261,0.055,0.308,0.433,2.2,2.0,-1.6,9.1,543.0,0.04285714285714286,0.12338858195211787,0.239,0.063,0.299,0.418,2.1,1.0,1.1,3.1,471.0,0.05092592592592592,0.11464968152866242,0.252,0.053,0.303,0.454,1.9,1.8,-0.2,5.4,7.3
303,28,288.25,0.024218039749529973,0.14661116045629108,0.29375,0.07549999999999997,0.35325000000000006,0.40574999999999994,-0.7,1.2000000000000002,1.0499999999999998,1.8,288.25,0.024218039749529973,0.14661116045629108,0.29375,0.07549999999999997,0.35325000000000006,0.40574999999999994,-0.7,1.2000000000000002,1.0499999999999998,1.8,215.0,0.030303030303030304,0.14418604651162792,0.348,0.051,0.394,0.485,-1.6,2.2,1.4,5.4,389.0,0.01729106628242075,0.13367609254498714,0.254,0.0819999999999999,0.323,0.34,-2.5,0.4,2.6,1.5,129.0,0.017699115044247787,0.13953488372093023,0.239,0.093,0.31,0.301,0.3,-0.3,0.1,0.3,420.0,0.031578947368421054,0.16904761904761906,0.334,0.076,0.386,0.497,1.0,2.5,0.1,0.0,2.9
466,30,427.5,0.03081421480103529,0.11366821823307875,0.26575000000000004,0.09249999999999997,0.33625,0.42524999999999996,-3.575,1.2500000000000002,-0.275,-3.05,427.5,0.03081421480103529,0.11366821823307875,0.26575000000000004,0.09249999999999997,0.33625,0.42524999999999996,-3.575,1.2500000000000002,-0.275,-3.05,188.0,0.018404907975460124,0.09574468085106383,0.252,0.1169999999999999,0.34,0.374,-2.2,0.1,0.0,-2.2,448.0,0.04738154613466334,0.13839285714285715,0.272,0.087,0.339,0.476,2.6,2.2,-1.3,-0.4,614.0,0.030575539568345324,0.10749185667752444,0.27,0.075,0.331,0.433,-6.8,1.8,-1.9,-4.8,460.0,0.02689486552567237,0.11304347826086956,0.269,0.091,0.335,0.418,-7.9,0.9,2.1,-4.8,-1.9
545,29,594.6,0.05188498329923319,0.1357945036591881,0.2686,0.08379999999999997,0.3368,0.4896,1.7600000000000002,2.2,-0.29999999999999993,-4.06,543.0,0.05394190871369295,0.12338858195211787,0.28,0.085,0.35,0.502,0.5,0.7,0.4,-20.5,674.0,0.0512396694214876,0.1394658753709199,0.264,0.0819999999999999,0.331,0.486,2.3,1.9,0.8,-7.7,513.0,0.049145299145299144,0.1364522417153996,0.274,0.07,0.331,0.494,1.8,3.1,0.5,4.8,582.0,0.045098039215686274,0.13745704467353953,0.243,0.1,0.329,0.429,2.0,1.9,-1.9,-0.9,661.0,0.06,0.1422087745839637,0.282,0.0819999999999999,0.343,0.537,2.2,3.4,-1.3,4.0,-1.0
562,29,573.0,0.00719181994532306,0.13480915048894904,0.2666,0.06,0.31100000000000005,0.3492,0.6,0.6,3.9799999999999995,3.0000000000000004,349.0,0.006230529595015576,0.1489971346704871,0.302,0.06,0.346,0.396,1.1,1.5,1.6,1.1,553.0,0.009505703422053232,0.13381555153707053,0.276,0.031,0.297,0.363,1.8,1.0,2.8,6.8,738.0,0.0060790273556231,0.15176151761517614,0.269,0.089,0.334,0.353,2.4,0.4,7.1,-10.6,636.0,0.0067226890756302525,0.10534591194968554,0.254,0.057,0.298,0.333,2.1,1.4,3.2,19.1,589.0,0.0074211502782931356,0.13412563667232597,0.232,0.063,0.28,0.301,-4.4,-1.3,5.2,-1.4,2.1
670,33,156.0,0.013986013986013986,0.16666666666666666,0.238,0.0579999999999999,0.281,0.308,0.5,0.1,0.8,5.5,361.5,0.009697210713396565,0.14949253520864975,0.25475000000000003,0.08949999999999997,0.3255,0.33975,0.30000000000000004,1.25,4.9,2.6249999999999996,361.5,0.009697210713396565,0.14949253520864975,0.25475000000000003,0.08949999999999997,0.3255,0.33975,0.30000000000000004,1.25,4.9,2.6249999999999996,479.0,0.0071090047393364926,0.1315240083507307,0.277,0.1,0.353,0.365,1.6,2.6,7.1,3.1,440.0,0.005154639175257732,0.12727272727272726,0.25,0.098,0.331,0.307,1.5,1.3,4.7,6.8,371.0,0.012539184952978056,0.1725067385444744,0.254,0.102,0.337,0.379,-2.4,1.0,7.0,-4.9,5.3
735,30,347.0,0.027950310559006212,0.15561959654178675,0.289,0.049,0.329,0.46,0.3,1.7,-1.2,8.3,552.0,0.036328871892925434,0.11956521739130435,0.285,0.047,0.319,0.463,-3.0,1.3,-0.8,2.0,520.0,0.029473684210526315,0.10961538461538461,0.276,0.075,0.335,0.417,-6.0,1.0,-1.5,-4.0,626.0,0.04679376083188908,0.15335463258785942,0.3,0.059,0.341,0.511,-6.1,5.0,0.8,11.5,548.0,0.030947775628626693,0.1386861313868613,0.304,0.038,0.333,0.464,-7.4,1.8,2.3,-7.4,608.0,0.043243243243243246,0.11348684210526316,0.254,0.066,0.315,0.427,-6.7,0.1,-1.9,-10.8,1.5
1001,33,156.0,0.007142857142857143,0.11538461538461539,0.293,0.09,0.361,0.429,2.3,0.6,0.2,0.3,117.0,0.0,0.08547008547008547,0.257,0.077,0.322,0.362,1.5,0.1,-0.4,1.5,116.0,0.0,0.06896551724137931,0.214,0.1119999999999999,0.316,0.255,1.4,-0.1,-0.7,2.4,181.0,0.011976047904191617,0.06629834254143646,0.186,0.061,0.239,0.251,2.6,-0.9,0.0,3.6,143.0,0.032520325203252036,0.07692307692307693,0.293,0.098,0.387,0.455,1.2,0.5,0.6,-2.8,137.0,0.016666666666666666,0.06569343065693431,0.208,0.095,0.299,0.292,2.1,-0.2,0.2,1.1,-0.30000000000000004
1166,29,282.6,0.03171835695165842,0.1358709339011064,0.2378,0.0772,0.29900000000000004,0.3956,2.5800000000000005,0.8800000000000001,1.6600000000000001,7.4,284.0,0.015748031496062992,0.09859154929577464,0.244,0.099,0.318,0.37,4.2,1.1,0.3,9.2,343.0,0.01892744479495268,0.09329446064139942,0.192,0.052,0.236,0.297,4.4,-0.9,1.3,11.4,116.0,0.049019607843137254,0.1810344827586207,0.225,0.078,0.302,0.422,2.0,0.6,1.0,5.0,224.0,0.029556650246305417,0.16517857142857142,0.266,0.067,0.312,0.438,3.3,1.1,-0.1,6.3,446.0,0.04534005037783375,0.1412556053811659,0.262,0.09,0.327,0.451,-1.0,2.5,5.8,5.1,0.9999999999999998
1380,35,305.0,0.021936352512687295,0.12440271250023482,0.2782,0.0738,0.3318,0.4128,0.14000000000000004,0.9399999999999998,0.04000000000000002,3.54,300.0,0.021897810218978103,0.13666666666666666,0.321,0.047,0.355,0.478,-0.8,1.3,1.1,-1.8,471.0,0.016166281755196306,0.1040339702760085,0.273,0.064,0.319,0.411,1.1,1.3,-0.6,9.1,169.0,0.04081632653061224,0.14792899408284024,0.279,0.083,0.337,0.476,-0.2,0.9,0.0,1.8,401.0,0.02459016393442623,0.12468827930174564,0.257,0.072,0.311,0.388,0.8,1.1,-0.5,6.8,184.0,0.006211180124223602,0.10869565217391304,0.261,0.103,0.337,0.311,-0.2,0.1,0.2,1.8,-0.09999999999999998
1407,30,323.0,0.032498196212499275,0.13144523062821972,0.2434,0.11159999999999999,0.3294,0.4204,-2.46,0.039999999999999994,0.32,-6.88,280.0,0.036,0.16071428571428573,0.276,0.1,0.346,0.476,-3.3,0.6,-0.6,-5.3,531.0,0.027837259100642397,0.1111111111111111,0.236,0.111,0.322,0.381,-6.1,-0.6,-0.1,-8.1,272.0,0.008264462809917356,0.1213235294117647,0.231,0.085,0.303,0.351,-2.4,-1.0,-0.7,-8.4,241.0,0.03940886699507389,0.13692946058091288,0.227,0.145,0.342,0.419,0.1,0.5,1.2,-5.9,291.0,0.050980392156862744,0.12714776632302405,0.247,0.1169999999999999,0.334,0.475,-0.6,0.7,1.8,-6.7,1.2
1523,31,244.0,0.06691344079328726,0.12758676703571198,0.23725000000000002,0.076,0.3,0.49174999999999996,-3.75,0.775,0.35,-3.45,244.0,0.06691344079328726,0.12758676703571198,0.23725000000000002,0.076,0.3,0.49174999999999996,-3.75,0.775,0.35,-3.45,184.0,0.06060606060606061,0.13043478260869565,0.255,0.087,0.326,0.509,-2.4,1.5,0.5,4.2,118.0,0.06542056074766354,0.09322033898305085,0.196,0.076,0.263,0.411,-1.6,-0.6,0.8,-7.3,390.0,0.07471264367816093,0.1564102564102564,0.256,0.095,0.333,0.549,-7.1,1.7,0.7,-8.5,284.0,0.06691449814126393,0.13028169014084506,0.242,0.046,0.278,0.498,-3.9,0.5,-0.6,-2.2,-0.30000000000000004
1659,35,695.0,0.025682182985553772,0.11798561151079137,0.287,0.091,0.353,0.435,-4.7,0.2,-2.7,-26.9,680.0,0.053082191780821915,0.16029411764705884,0.298,0.129,0.39,0.522,-7.1,3.0,2.1,-28.8,704.0,0.03656597774244833,0.1534090909090909,0.305,0.089,0.367,0.496,-6.9,2.5,-1.7,-22.0,201.0,0.046511627906976744,0.15920398009950248,0.302,0.134,0.393,0.494,-2.9,0.7,-0.3,-6.9,634.0,0.04570383912248629,0.15772870662460567,0.285,0.115,0.367,0.488,-8.5,2.9,6.3,-17.6,378.0,0.026706231454005934,0.11375661375661375,0.294,0.1009999999999999,0.37,0.424,-8.1,0.8,-0.8,-9.5,3.0999999999999996
